BoonName,Rarity,Type,Buff,Debuff
Berserker Spark,Common,Martial,+2 melee attack rolls,-1 AC penalty
Arcane Overflow,Common,Caster,+1 caster level on a school of your choice (chosen during prep phase),-1 caster level on all other spell schools
Overflowing Power,Common,Caster,+1 damage/die on spells,-1 caster level on all spells
Iron Lungs,Rare,General,You gain a Swim and Climb speed equal to half your base land speed,
Stone Skin Lite,Rare,General,DR 2/adamantine,-10 feet base land speed
Jittery,Rare,General,+15 feet base land speed and gain the Mobility feat,You must take a move action each round
Unbridled Adrenaline,Common,Martial,+4 bonus on damage rolls while below half HP,-2 penalty on damage rolls while above half HP
Cold Discipline,Rare,General,+Resist cold 25. Whenever you take cold damage (before resistance) heal 2d8 hp,Vulnerable to fire
Fire Temper,Rare,General,+Resist fire 25. Whenever you take fire damage (before resistance) heal 2d8 hp,Vulnerable to cold
Shadow Veil,Common,General,+10 bonus on Stealth checks,
Brutal Presence,Common,General,"+6 bonus on Intimidate checks. As a Full-Round action, Intimidate check to demoralize all foes within 30 feet who can see you.",-1 penalty on Will saves
Spell Battery,Common,Caster,+4 bonus on concentration checks,
Shielded Mind,Common,General,+3 bonus on Will saves,-1 penalty to Reflex and Fortitude saves
Quick Feat,Common,General,+4 bonus on Reflex saves,-1 penalty to Will and Fortitude saves
Strong Heart,Common,General,+3 bonus on Fortitude saves,-1 penalty to Reflex and Will saves
Elongation,Rare,Martial,+5 feet reach with melee weapons,-3 penalty on attacks of opportunity
Cocky,Common,Martial,+3 bonus on damage when enemies are flat-footed,You are flat-footed for your first round
Photosynthesis ,Rare,General,You do not breathe. You gain fast-healing 2 while under natural sunlight.,-10 feet base land speed
Total Gamble,Rare,General,+5 bonus on initiative,"If you do not go first in the initiative order, you go last"
Mystic Ward,Common,General,+2 bonus on saves against spells,You can never be the willing target of a spell or spell like ability
Arc Runner,Common,Martial,+40 feet speed while charging. Ignore difficult terrain. Charge over water,
Aura of Bravery,Common,General,+2 bonus on fear saves for all allies within 10ft,-1 penalty on charm and compulsion saves
Creepy,Rare,General,Heal 1d4 HP per HD once per round after touching an enemy,-2 penalty to touch AC penalty
Rending Edge,Common,Martial,+4 bonus on critical confirmation rolls,
Armor Driller,Rare,Martial,Ignore 2 points of armor bonus on target,
Linebreaker,Rare,Martial,"As a swift action, bull rush an opponent",You take 1 damage per HD when doing so
Posh Fencer,Common,Martial,+4 bonus to disarm opponents. You do not provoke on disarm attempts.,-2 penalty on all other CMB checks
Grappler Knot,Common,Martial,+5 bonus on initial grapple checks,Enemies get +2 to escape grapples from you
Grounded,Common,General,+8 bonus on Acrobatics,You can't jump
Against All Odds,Common,Martial,+3 bonus to AC when surrounded by 2 or more opponents,-2 AC penalty when surrounded by 1 or less opponents
Lazy Eye,Rare,General,Cannot be blinded and gaze attacks do not effect you,-2 penalty on ranged attacks
Sun Warrior,Common,General,+2 bonus on attack rolls in sunlight,-1 penalty on attack rolls in dim light or darkness
Dim Dweller,Common,General,+2 AC in dim light or darker,-1 AC in sunlight
Spirit Echo,Common,Caster,+5 bonus on Knowledge religion and planes checks,
Adventure Echo,Common,Caster,+5 bonus on Knowledge nature and dungeoneering checks,
